,,,Labour force participation rate (Male),Labour force participation rate (Female),Ratio of persons employed in primary industry,Ratio of persons employed in secondary industry,Ratio of persons employed in tertiary industry,Unemployment rate (Both sexes),Ratio of employees to all workers,Ratio of persons living and working in the same prefecture,Ratio of commuters to other municipalities,Ratio of commuters from other municipalities,Ratio of new employment,Ratio of job vacancies to application,Ratio of newly filled vacancies,Ratio of employment to part-time job applications (Regular),Ratio of aged employees (65 years old and over),Ratio of aged general workers (65 years old and over),Ratio of employment for the disabled persons,Ratio of new employment to upper secondary school graduates,Ratio of upper secondary school graduates getting jobs outside the prefecture,Job vacancies rate of new upper secondary school graduates,Ratio of new employment to college or university graduates ,Ratio of new college or university graduates not working,Ratio of persons who changed jobs,Ratio of persons who quit their jobs,Ratio of newly employed,Ratio of job changes,"Monthly average of hours actually worked
(Male)","Monthly average of hours actually worked
(Female)","Salary of part-time workers
(per hour, Male)","Salary of part-time workers (per hour, Female)","Number of part-time workers
 (Male)",Number of part-time workers (Female),Scheduled cash earnings for upper secondary school graduates (Male),Scheduled cash earnings for upper secondary school graduates (Female)
,,,#F0110101,#F0110102,#F01201,#F01202,#F01203,#F01301,#F02301,#F02501,#F02701,#F02702,#F03101,#F03103,#F03104,#F0320101,#F0350303,#F0350403,#F03602,#F03303,#F03302,#F03304,#F03403,#F03402,#F04101,#F04102,#F04103,#F04104,#F0610103,#F0610104,#F06207,#F06206,#F03242,#F03241,#F0620307,#F0620308
38,愛媛県,Ehime-ken,66.9,47.2,7.3,23.1,64.8,4.4,75.6,95,14.9,15.1,6.4,1.31,4.9,6,22,1.67,58.1,22.5,22.2,2.77,77,6.2,4.3,4.3,5.3,7.8,184,172,"1,193","1,115","23,270","85,070",170.6,166
39,高知県,Kochi-ken,61.1,46.6,11.4,16.6,68.7,4.9,72.9,96.4,22.7,22.5,6.2,0.96,6.5,7.7,23,1.42,47.1,17.7,34.6,1.88,71.4,5.9,4.5,4.3,4.7,7.6,179,168,"1,434","1,066","13,410","33,210",167.9,162.8
40,福岡県,Fukuoka-ken,64.2,46.2,2.8,20.2,72.1,5.3,80,93.1,46.5,46.5,4.5,0.98,4.6,5.3,20.2,2.2,44.4,17.8,19.3,2.82,75.5,8.1,5.5,4.2,6.5,9.3,178,167,"1,313","1,112","131,420","329,880",179.6,170.9
41,佐賀県,Saga-ken,69.9,51.6,8.4,23.5,65,4.1,76.9,89.4,31.4,32.5,7.3,1.09,6.7,7.9,23.9,2.61,56.1,32.8,39.3,1.83,67.2,6.7,4.7,3.9,5.4,8.3,184,171,"1,621","1,143","16,330","44,820",184,162
42,長崎県,Nagasaki-ken,67.1,47.7,7.4,19.5,69.9,4.4,77.7,95.9,16.9,16.5,7.7,0.99,7.8,7.7,20.4,2.15,45.9,28.6,34.4,1.68,74.3,8.1,4.3,4.1,5.4,7.8,182,170,"1,341","1,056","23,970","73,420",167.7,162.6
43,熊本県,Kumamoto-ken,65.8,49.2,9.6,20.6,67.5,4.5,76.5,95.9,36.6,35.8,6.3,1.24,5.1,6.6,21.9,2.04,51.8,26.4,39.2,2.02,74.5,8.3,4.5,4.3,5.6,8.2,181,171,"1,327","1,093","43,310","120,960",174.2,162.6
44,大分県,Oita-ken,67.2,47.5,6.7,22.3,66.5,4.5,77.2,94.1,15.6,15.6,8.2,1.16,7,8.8,21.5,2.74,50.4,25.5,26.2,1.94,70.7,13.4,4.7,4.1,5.4,8,181,171,"1,983","1,109","16,060","64,450",168,167.4
45,宮崎県,Miyazaki-ken,66.5,49.9,10.8,20.6,66.5,4.6,76.1,96.8,15.1,15,8.5,1.26,6.7,7.1,22.5,2.32,56.1,28.7,42,1.76,72.9,8.1,4.7,4.8,4.7,8.3,180,170,"1,239","1,036","17,720","58,760",166.7,160
46,鹿児島県,Kagoshima-ken,65.9,47.9,9.3,19.1,69.7,4.7,77.5,97.5,14.4,14.2,7.7,1.18,6.5,7.6,21.1,1.75,54.2,27.5,44,1.52,70.1,8.3,5.1,4.2,5.5,8.4,180,170,"1,483","1,017","25,200","89,110",159.4,162.1
47,沖縄県,Okinawa-ken,61.6,46.3,4.5,13.8,73.5,6.3,76.7,92.4,37.7,37.8,4.6,0.71,6.5,7.6,17.9,2.52,58.1,16.6,28.6,1.85,65.2,15.7,6.7,4.8,6.7,10.5,180,169,"1,145","1,179","27,100","78,900",167.1,180.7
