,Prefectures,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31, Tottori-ken,"-5,280","-4,778","-6,507","-8,306",- 6 333,"-6,810","-7,906","-7,475","-7,071","-6,861","-6,528","-6,373","-5,927","-4,855","-4,226","-3,502","-3,830","-3,658","-2,543","-1,129",-925,"-1,304",453,497,-47,978,316,-424,-926,"-1,446","-1,273","-1,326","-1,639","-1,840","-1,201","-1,509",-962,"-1,213","-1,529",-491,282,811,-111,-287,-370,-19,-220,-520,-367,-790,-909,"-1,767","-1,891","-2,465","-2,885","-1,853","-1,132","-1,059","-1,453","-1,683","-1,131","-1,503","-1,310","-1,484","-1,983","-1,735","-1,008",-870
32, Shimane-ken,"-5,541","-7,564","-10,265","-12,990",- 10 230,"-13,766","-13,448","-14,398","-16,595","-17,165","-17,636","-16,703","-13,382","-13,301","-12,433","-12,748","-11,661","-9,315","-6,122","-3,583","-3,570","-2,268",-563,-413,-73,-621,-806,"-1,442","-1,455","-2,952","-1,124","-2,099","-2,796","-3,150","-3,410","-3,645","-3,447","-3,425","-3,239","-2,067",-248,-115,"-1,309","-1,013","-1,514",-626,-241,"-1,240","-1,730","-1,875","-2,304","-2,479","-2,978","-2,934","-2,650","-1,899","-1,570",-993,"-1,199","-1,347","-1,601","-1,366","-1,252","-1,528","-1,457","-1,624","-1,532","-1,270"
33, Okayama-ken,"-10,220","-9,798","-9,300","-15,203",- 14 013,"-13,899","-12,318","-17,458","-18,955","-14,503","-11,647","-7,100","-3,714",-87,-889,676,"6,026","6,120",77,614,"2,977","1,354",-888,"-2,734","-1,900",-998,"-1,673","-1,241","-2,177","-2,042","-2,529","-2,370","-2,129","-3,981","-3,073","-2,878","-1,280",-995,-857,835,"1,346","2,391",-143,25,-797,"-1,414","-1,328","-1,787","-1,846",-833,"-1,023","-1,590","-2,743","-1,740","-2,691","-2,634","-2,084",605,404,-723,-382,"-1,250","-1,973","-2,182","-3,323","-3,266","-1,983","-2,882"
34, Hiroshima-ken,"-6,298","-8,715","-6,183","-5,778",- 4 746,"-6,549","-6,315","-4,373",-186,"2,056","5,036","4,449","7,622","9,849","14,043","10,528","8,885","13,127","15,258","11,506","2,396","-1,584","-5,797","-4,554","-13,253","-6,020","3,412","2,812","-3,509","-3,185","-3,693","-3,396","-4,342","-6,334","-4,894","-4,506",-896,"-2,652",-749,"-2,024","-2,821",-473,"-3,653","-4,313","-4,282","-5,468","-5,640","-7,001","-4,824","-3,716","-1,831","-1,969","-2,625","-3,671","-4,448","-3,207","-1,902",-957,"-2,786","-2,953","-2,639","-2,856","-2,136","-3,176","-3,537","-5,318","-4,179","-5,363"
35, Yamaguchi-ken,"-5,672","-5,718","-4,037","-5,869",- 5 867,"-11,740","-15,957","-19,201","-18,020","-28,268","-24,994","-17,204","-18,612","-21,224","-16,880","-14,603","-12,102","-10,695","-6,812","-7,681","-4,750","-2,320",-852,"-2,044","-2,897","-5,158","-3,468","-2,439","-1,861","-4,974","-5,680","-5,669","-7,742","-7,595","-6,506","-7,289","-7,447","-4,498","-3,425","-2,494","-1,587","-1,304","-2,876","-2,127","-2,344","-3,041","-3,628","-3,510","-3,332","-3,270","-3,213","-3,725","-4,508","-4,229","-3,853","-2,721","-2,886","-1,992","-3,635","-3,187","-3,647","-4,630","-3,801","-4,093","-4,140","-4,430","-3,295","-2,704"
36, Tokushima-ken,"-9,710","-9,941","-11,310","-14,493",- 10 429,"-10,596","-13,777","-13,887","-12,448","-11,730","-11,783","-10,162","-10,087","-11,224","-10,042","-9,333","-7,838","-6,537","-5,309","-3,752","-3,348","-3,041",-738,-643,-484,-413,"-1,406","-2,094","-2,193","-2,163","-1,949","-2,522","-2,301","-1,954","-2,188","-2,361","-2,051","-1,705","-1,112",-576,-277,877,158,-541,-6,"-1,133","-1,319","-1,192","-1,127","-1,739","-1,749","-2,258","-2,132","-2,920","-2,862","-2,038","-1,585","-1,132",-831,"-1,694","-1,495","-2,234","-1,748","-1,971","-2,290","-2,963","-2,345","-1,638"
37, Kagawa-ken,"-6,730","-5,643","-7,492","-11,939",- 7 808,"-9,630","-12,065","-11,556","-9,211","-4,879","-7,336","-5,582","-6,187","-3,260","-2,925","-3,046","-1,567",386,713,"2,140","2,855",293,"1,560","1,967",94,945,552,226,-297,-611,-546,-409,"-1,397","-1,992","-1,387","-1,257",-822,-971,-435,11,584,"1,333",357,-49,-66,-202,"-1,483","-1,841","-1,423","-1,072",-806,"-1,640","-1,343","-1,808","-1,395",-834,"-1,405",-41,188,-998,"-1,149",-492,"-1,101",-962,"-1,628","-2,013","-1,827","-1,763"
38, Ehime-ken,"-12,710","-10,737","-12,085","-20,242",- 16 274,"-18,054","-23,001","-25,101","-25,541","-24,419","-20,219","-17,056","-16,287","-15,553","-16,958","-16,123","-13,055","-9,139","-7,277","-5,693","-2,771","-2,581",-978,-692,"-3,927","-3,311","-3,166","-3,053","-4,193","-3,740","-3,794","-4,084","-5,961","-6,914","-5,191","-4,668","-4,516","-4,515","-3,179","-2,734","-1,928","-1,343","-1,752","-1,787","-2,973","-3,457","-2,758","-2,652","-2,781","-2,145","-2,845","-3,206","-4,272","-4,459","-3,545","-2,637","-2,596","-1,926","-2,506","-3,148","-3,512","-3,869","-3,647","-3,247","-4,063","-4,234","-3,175","-2,522"
39, Kochi-ken,"-3,214","-3,376","-4,852","-10,993",- 7 377,"-8,660","-13,191","-12,997","-12,828","-11,450","-11,143","-10,599","-8,683","-7,546","-8,697","-10,014","-7,534","-5,252","-2,163","-2,078","-1,958",323,"1,459",498,"1,152",400,-380,-930,"-1,011","-1,364","-1,972","-2,333","-2,875","-2,568","-2,384","-2,990","-3,655","-2,998","-2,709","-1,004",112,506,-670,-265,-248,285,68,-649,-586,"-1,109","-1,460","-2,463","-3,491","-4,542","-4,321","-2,178",-782,"-1,439","-1,939","-1,780","-2,179","-2,278","-2,265","-2,135","-2,328","-2,583","-1,997","-1,416"
40, Fukuoka-ken,-328,"1,033","5,093","12,073", 10 360,"-4,912","-30,716","-40,482","-34,919","-51,885","-35,978","-23,094","-14,918","-24,133","-31,035","-32,824","-31,421","-15,654","-7,362","-5,383","4,832","22,385","18,533","14,343","6,894","8,780","4,405","7,109","3,623","2,542","-1,180","-5,033","-7,417","-7,687","-2,154","2,070","2,982","4,835","10,574","11,086","10,406","12,046","11,536","9,829","7,278","4,300","4,270","3,638","4,001","2,532","2,413","1,584","3,122","-2,125","-3,286",469,"2,673","9,719","8,667","5,825","3,900","3,603","5,732","6,388","6,243","6,324","7,808","7,691"
