Name,categories,Country,2016,2017,2018,2019,2020
El Salvador,Taxes on int trade & transactions,SV,0.8534,0.8438,0.8739,0.8629,0.7582
El Salvador,Taxes on payroll & workforce,SV,0.0,0.0,0.0,0.0,0.0
El Salvador,Taxes on property,SV,0.4291,0.4003,0.3774,0.3952,0.4055
Estonia,Customs & other import duties,EE,0.0,0.0,0.0,0.0,0.0
Estonia,Grants revenue,EE,1.3192,1.659,1.9196,1.8484,2.1797
Estonia,Grants revenue from foreign govts,EE,0.4529,0.3453,0.4067,0.3873,0.5269
Estonia,Grants revenue from int orgs,EE,0.8663,1.3137,1.5129,1.4611,1.6527
Estonia,Grants revenue from other gen govt,EE,0.0,0.0,0.0,0.0,0.0
Estonia,Other revenue,EE,3.4243,3.536,3.1813,3.4295,3.1537
Estonia,Revenue,EE,38.3214,38.0861,38.2168,38.8598,39.5062
Estonia,Social contributions,EE,11.4784,11.6543,11.7899,12.0058,12.734
Estonia,Tax revenue,EE,22.0995,21.2368,21.326,21.5761,21.4389
Estonia,Taxes on goods & services,EE,14.343,13.8206,13.6297,14.0045,13.3884
Estonia,"Taxes on income, profits, & capital gains",EE,7.4852,7.1746,7.4718,7.3585,7.8328
Estonia,Taxes on int trade & transactions,EE,0.0,0.0,0.0,0.0,0.0
Estonia,Taxes on payroll & workforce,EE,0.0,0.0,0.0,0.0,0.0
Estonia,Taxes on property,EE,0.2713,0.2416,0.2245,0.2131,0.2177
Finland,Customs & other import duties,FI,0.0,0.0,0.0,0.0,0.0
Finland,Grants revenue,FI,0.1995,0.2121,0.2266,0.2282,0.2409
Finland,Grants revenue from foreign govts,FI,0.0156,0.0155,0.0146,0.015,0.014
Finland,Grants revenue from int orgs,FI,0.1839,0.1966,0.212,0.2132,0.2269
Finland,Grants revenue from other gen govt,FI,0.0,0.0,0.0,0.0,0.0
Finland,Other revenue,FI,9.0567,8.9341,8.8633,8.891,8.6359
Finland,Revenue,FI,52.9984,52.0042,51.4927,51.303,50.9404
Finland,Social contributions,FI,12.844,12.0636,11.9571,11.8873,11.6691
Finland,Tax revenue,FI,30.8981,30.7944,30.4457,30.2965,30.3944
Finland,Taxes on goods & services,FI,14.7096,14.3831,14.5772,14.4154,14.4436
Finland,"Taxes on income, profits, & capital gains",FI,15.1808,15.2257,14.7956,14.7899,14.7857
Finland,Taxes on int trade & transactions,FI,0.0,0.0,0.0,0.0,0.0
Finland,Taxes on payroll & workforce,FI,0.0,0.0,0.0,0.0,0.0
Finland,Taxes on property,FI,1.0077,1.1856,1.073,1.0912,1.1652
France,Customs & other import duties,FR,0.0265,0.0252,0.026,0.0265,0.0337
France,Grants revenue,FR,,,,,
France,Grants revenue from foreign govts,FR,,,,,
France,Grants revenue from int orgs,FR,,,,,
France,Grants revenue from other gen govt,FR,0.0,0.0,0.0,0.0,0.0
France,Other revenue,FR,,,,,
France,Revenue,FR,52.3879,52.8853,52.7011,51.6328,51.8728
France,Social contributions,FR,18.5889,18.5983,17.8557,16.6132,16.7036
France,Tax revenue,FR,28.8793,29.4918,30.088,30.3109,30.6098
France,Taxes on goods & services,FR,11.8116,12.084,12.2847,12.2913,12.2273
France,"Taxes on income, profits, & capital gains",FR,11.1498,11.452,12.1534,12.2058,12.3831
France,Taxes on int trade & transactions,FR,0.0265,0.0252,0.026,0.0265,0.0337
France,Taxes on payroll & workforce,FR,1.5866,1.5925,1.5725,1.8505,1.9666
France,Taxes on property,FR,4.251,4.2865,4.0056,3.9006,3.964
Georgia,Customs & other import duties,GE,0.1956,0.1757,0.1646,0.1606,0.1521
Georgia,Grants revenue,GE,0.8296,0.7191,0.7691,0.8627,0.8463
Georgia,Grants revenue from foreign govts,GE,0.2897,0.2549,0.265,0.1943,0.0403
Georgia,Grants revenue from int orgs,GE,0.54,0.4642,0.504,0.6684,0.8061
Georgia,Grants revenue from other gen govt,GE,0.0,0.0,0.0,0.0,0.0
Georgia,Other revenue,GE,5.7088,6.0206,4.4288,4.2881,4.1687
Georgia,Revenue,GE,31.0559,31.048,28.6179,29.2311,27.4602
Georgia,Social contributions,GE,0.0,0.0,0.0,0.0,0.0
Georgia,Tax revenue,GE,24.5175,24.3084,23.4201,24.0803,22.4452
Georgia,Taxes on goods & services,GE,12.1556,13.6734,13.2123,13.6961,12.5773
Georgia,"Taxes on income, profits, & capital gains",GE,9.6827,9.0171,8.9322,8.8302,8.6803
Georgia,Taxes on int trade & transactions,GE,0.1956,0.1757,0.1646,0.1606,0.1521
Georgia,Taxes on payroll & workforce,GE,0.0,0.0,0.0,0.0,0.0
Georgia,Taxes on property,GE,1.0141,0.9683,0.9893,0.963,0.8866
Germany,Customs & other import duties,DE,0.0,0.0,0.0,0.0,0.0
Germany,Grants revenue,DE,0.1693,0.1004,0.1252,0.1161,0.1259
Germany,Grants revenue from foreign govts,DE,0.0029,0.0002,0.0003,0.0002,0.0002
Germany,Grants revenue from int orgs,DE,0.1664,0.1001,0.1249,0.1159,0.1257
Germany,Grants revenue from other gen govt,DE,0.0,0.0,0.0,0.0,0.0
Germany,Other revenue,DE,4.4444,4.3462,4.5278,4.5245,4.524
Germany,Revenue,DE,44.9194,44.9333,45.6522,45.8871,45.9266
Germany,Social contributions,DE,16.7252,16.8183,17.0016,17.2232,18.0531
Germany,Tax revenue,DE,23.5806,23.6684,23.9977,24.0233,23.2237
Germany,Taxes on goods & services,DE,10.0878,9.9715,9.9605,9.9875,9.5361
Germany,"Taxes on income, profits, & capital gains",DE,12.1971,12.4484,12.7696,12.7441,12.242
Germany,Taxes on int trade & transactions,DE,0.0,0.0,0.0,0.0,0.0
Germany,Taxes on payroll & workforce,DE,0.0,0.0,0.0,0.0,0.0
Germany,Taxes on property,DE,0.6591,0.6147,0.6239,0.6168,0.6928
Greece,Customs & other import duties,GR,0.0,0.0,0.0039,0.0,0.0
Greece,Grants revenue,GR,,,,,
Greece,Grants revenue from foreign govts,GR,,,,,
Greece,Grants revenue from int orgs,GR,,,,,
Greece,Grants revenue from other gen govt,GR,0.0,0.0,0.0,0.0,0.0
Greece,Other revenue,GR,,,,,
Greece,Revenue,GR,49.5572,48.3252,48.6543,48.1602,48.6836
Greece,Social contributions,GR,14.2955,14.6755,14.6177,14.5322,15.3398
Greece,Tax revenue,GR,27.6554,27.3799,27.8695,27.1208,25.6606
Greece,Taxes on goods & services,GR,15.654,15.5612,15.7834,15.7584,14.908
Greece,"Taxes on income, profits, & capital gains",GR,8.9728,8.8077,9.1628,8.5283,7.9063
Greece,Taxes on int trade & transactions,GR,0.0,0.0,0.0039,0.0,0.0
Greece,Taxes on payroll & workforce,GR,0.0,0.0,0.0,0.0,0.0
Greece,Taxes on property,GR,2.8306,2.8083,2.7297,2.5658,2.6497
Guatemala,Customs & other import duties,GT,0.4593,0.3855,0.4648,0.455,0.4119
Guatemala,Grants revenue,GT,0.0187,0.0402,0.0428,0.023,0.0184
Guatemala,Grants revenue from foreign govts,GT,0.0068,0.0136,0.0136,0.0086,0.0047
Guatemala,Grants revenue from int orgs,GT,0.0119,0.0266,0.0292,0.0144,0.0137
Guatemala,Grants revenue from other gen govt,GT,-0.0,0.0,0.0,-0.0,-0.0
Guatemala,Other revenue,GT,1.4184,1.1468,1.1949,1.234,1.1184
Guatemala,Revenue,GT,15.2094,13.0487,15.2295,15.0747,14.3921
Guatemala,Social contributions,GT,2.8658,2.2572,2.879,2.8442,2.7863
Guatemala,Tax revenue,GT,10.9066,9.6044,11.1128,10.9736,10.469
Guatemala,Taxes on goods & services,GT,6.1701,5.5089,6.4272,6.4168,6.0661
Guatemala,"Taxes on income, profits, & capital gains",GT,3.8501,3.349,3.7721,3.6627,3.6075
Guatemala,Taxes on int trade & transactions,GT,0.5155,0.4337,0.5216,0.5122,0.4316
Guatemala,Taxes on payroll & workforce,GT,0.0824,0.0666,0.0852,0.0817,0.0747
Guatemala,Taxes on property,GT,0.1942,0.1604,0.2026,0.2052,0.2041
Hong Kong,Customs & other import duties,HK,0.0361,0.0376,0.0247,0.0141,0.015
Hong Kong,Grants revenue,HK,0.0,0.0,0.0,0.0,0.0
Hong Kong,Grants revenue from foreign govts,HK,0.0,0.0,0.0,0.0,0.0
Hong Kong,Grants revenue from int orgs,HK,0.0,0.0,0.0,0.0,0.0
Hong Kong,Grants revenue from other gen govt,HK,0.0,0.0,0.0,0.0,0.0
Hong Kong,Other revenue,HK,11.0295,11.4754,9.9809,10.0568,9.2998
Hong Kong,Revenue,HK,24.6045,25.7857,23.7883,23.3088,23.3505
Hong Kong,Social contributions,HK,0.0,0.0,0.0,0.0,0.0
Hong Kong,Tax revenue,HK,13.5751,14.3104,13.8074,13.252,14.0507
Hong Kong,Taxes on goods & services,HK,4.3002,5.4594,4.6201,3.9897,4.8144
Hong Kong,"Taxes on income, profits, & capital gains",HK,8.1587,7.753,8.3268,8.2957,7.9056
Hong Kong,Taxes on int trade & transactions,HK,0.0361,0.0376,0.0247,0.0141,0.015
Hong Kong,Taxes on payroll & workforce,HK,0.0,0.0,0.0,0.0,0.0
Hong Kong,Taxes on property,HK,0.9757,0.9588,0.7336,0.8718,1.3157
Hungary,Customs & other import duties,HU,0.0,0.0,0.0,0.0,0.0
Hungary,Grants revenue,HU,0.8641,1.0767,2.0137,2.3051,2.3098
Hungary,Grants revenue from foreign govts,HU,0.0493,0.0292,0.0256,0.026,0.0287
Hungary,Grants revenue from int orgs,HU,0.8149,1.0475,1.9881,2.2791,2.2811
Hungary,Grants revenue from other gen govt,HU,0.0,0.0,0.0,0.0,0.0
Hungary,Other revenue,HU,4.7295,4.9442,4.8013,4.525,4.655
Hungary,Revenue,HU,44.6649,43.8734,43.613,43.1312,43.3529
Hungary,Social contributions,HU,13.7518,12.7908,12.1138,11.7494,11.2987
Hungary,Tax revenue,HU,25.3195,25.0617,24.6841,24.5517,25.0895
Hungary,Taxes on goods & services,HU,16.9349,16.6454,16.7976,16.6189,16.9067
Hungary,"Taxes on income, profits, & capital gains",HU,7.0178,6.9472,6.3978,6.384,6.6304
Hungary,Taxes on int trade & transactions,HU,0.0,0.0,0.0,0.0,0.0
Hungary,Taxes on payroll & workforce,HU,0.7474,0.867,0.9462,1.0413,1.05
Hungary,Taxes on property,HU,0.6193,0.6021,0.5426,0.5075,0.5024
Iceland,Customs & other import duties,IS,0.2025,0.1481,0.145,0.1126,0.0876
