,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
1333,知内町　　　　,Shiriuchi-cho,"4,653","4,649",4,"4,198",508,"2,553","1,592",...,14,63,135,180,"4,718","2,003","1,998","1,081",664,555,330,266,11,6,1333
1334,木古内町　　　,Kikonai-cho,"4,547","4,527",20,"3,956",307,"2,236","2,004",...,9,82,118,158,"4,515","2,140","2,135","1,100",829,659,386,449,10,5,1334
1337,七飯町　　　　,Nanae-cho,"28,120","28,087",32,"28,072","3,384","15,672","9,058","13,132",138,394,"1,120",931,"24,164","11,141","11,090","7,194","2,787","3,094","1,761","1,543",67,52,1337
1343,鹿部町　　　　,Shikabe-cho,"4,226","4,161",65,"3,811",423,"2,285","1,518",...,14,53,101,152,"4,146","1,660","1,653",926,488,498,339,224,6,1,1343
1345,森町　　　　　,Mori-machi,"15,946","15,757",189,"14,849","1,795","8,625","5,526",...,57,251,332,510,"16,139","6,628","6,612","3,619","2,112","1,813",979,"1,067",42,29,1345
1346,八雲町　　　　,Yakumo-cho,"17,252","17,162",87,"15,673","1,967","9,895","5,369","7,500",85,207,635,"1,144","17,306","7,523","7,495","4,005","2,770","1,794","1,036","1,113",77,21,1346
1347,長万部町　　　,Oshamambe-cho,"5,926","5,858",68,"5,111",507,"3,229","2,190",...,23,93,173,265,"6,048","2,685","2,678","1,427","1,090",789,487,573,7,9,1347
1361,江差町　　　　,Esashi-cho,"8,248","8,241",7,"7,310",818,"4,589","2,839",...,25,104,386,475,"8,852","3,752","3,717","1,984","1,495",932,578,603,24,10,1361
1362,上ノ国町　　　,Kaminokuni-cho,"4,876","4,866",10,"4,615",506,"2,427","1,943",...,16,96,97,121,"4,424","2,173","2,168","1,229",706,676,408,417,11,4,1362
1363,厚沢部町　　　,Assabu-cho,"4,049","4,033",16,"3,701",440,"2,050","1,556",...,16,66,122,163,"4,135","1,765","1,757","1,044",534,533,336,282,10,5,1363
1364,乙部町　　　　,Otobe-cho,"3,906","3,904",2,"3,520",385,"1,943","1,578",...,14,66,77,123,"3,489","1,729","1,726","1,041",523,559,359,344,7,2,1364
1367,奥尻町　　　　,Okushiri-cho,"2,690","2,684",6,"2,498",253,"1,442",995,...,10,55,179,221,"2,716","1,270","1,260",653,504,325,216,253,10,3,1367
1370,今金町　　　　,Imakane-cho,"5,628","5,626",2,"5,054",566,"2,965","2,097",...,22,85,140,203,"5,487","2,280","2,263","1,308",677,683,442,345,18,6,1370
1371,せたな町　　　,Setana-cho,"8,473","8,443",30,"7,563",749,"4,135","3,589",...,19,137,236,296,"8,480","3,862","3,848","2,067","1,409","1,107",736,796,17,6,1371
