,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
32386,飯南町　　　　,Iinan-cho,"5,031","5,004",27,"4,725",518,"2,326","2,187",...,26,99,141,138,"5,175","1,842","1,828",869,507,570,324,298,15,5,32386
32441,川本町　　　　,Kawamoto-machi,"3,442","3,427",14,"3,203",331,"1,618","1,493",...,17,76,157,173,"3,859","1,457","1,448",741,508,441,252,308,8,2,32441
32448,美郷町　　　　,Misato-cho,"4,900","4,886",14,"4,499",548,"2,140","2,212",...,23,91,103,114,"4,433","2,010","2,002","1,016",644,641,373,466,13,6,32448
32449,邑南町　　　　,Onan-cho,"11,101","11,037",64,"10,360","1,182","5,119","4,779",...,51,223,254,281,"10,935","4,224","4,186","2,139","1,244","1,269",781,746,33,10,32449
32501,津和野町　　　,Tsuwano-cho,"7,653","7,602",51,"7,064",661,"3,515","3,462",...,20,140,191,258,"7,267","3,300","3,293","1,645","1,100","1,027",608,681,13,10,32501
32505,吉賀町　　　　,Yoshika-cho,"6,374","6,250",124,"6,139",603,"3,003","2,768",...,37,127,197,227,"6,453","2,810","2,801","1,414","1,039",799,514,546,16,5,32505
32525,海士町　　　　,Ama-cho,"2,353","2,345",7,"2,214",246,"1,189",918,...,15,40,146,142,"2,399","1,057","1,045",552,397,299,195,194,7,4,32525
32526,西ノ島町　　　,Nishinoshima-cho,"3,027","3,015",12,"2,745",255,"1,510","1,262",...,14,49,127,135,"3,012","1,499","1,496",778,629,445,276,273,9,3,32526
32527,知夫村　　　　,Chibu-mura,615,613,2,645,52,258,305,...,5,9,47,43,612,331,330,167,151,110,81,86,1,0,32527
32528,隠岐の島町　　,Okinoshima-cho,"14,608","14,549",56,"13,866","1,693","7,247","5,564",...,76,240,396,406,"14,604","6,250","6,202","3,510","2,044","1,880","1,101","1,087",37,21,32528
33,岡山県　　　,Okayama-ken,"1,921,525","1,885,691","17,309","1,893,874","247,890","1,098,140","540,876","897,148","13,521","21,788","63,703","66,133","1,921,822","772,977","771,242","431,094","248,478","179,466","98,452","86,275","7,852","2,986",33
33100,岡山市　　　　,Okayama-shi,"719,474","705,613","8,425","708,155","97,043","435,475","175,013","492,936","5,627","6,786","32,750","33,036","745,199","309,409","308,807","165,013","117,015","59,610","32,396","31,743","3,413","1,154",33100
33101,　北区　　　　　,  Kita-ku,"309,484","301,515","4,937","296,383","38,988","191,670","71,020","220,922","2,470","2,842","16,020","16,518","368,221","146,147","145,834","66,581","69,014","23,335","12,811","14,597","1,558",431,33101
33102,　中区　　　　　,  Naka-ku,"146,232","143,648","1,262","148,027","21,417","87,567","35,151","121,989","1,261","1,332","6,844","6,260","131,661","61,528","61,412","35,774","20,628","12,368","6,816","6,884",655,268,33102
33103,　東区　　　　　,  Higashi-ku,"95,577","94,603",794,"94,548","12,486","55,136","27,545","39,129",583,"1,054","3,326","3,454","89,016","36,198","36,127","22,631","9,061","9,478","5,220","4,013",337,146,33103
33104,　南区　　　　　,  Minami-ku,"168,181","165,847","1,432","169,197","24,152","101,102","41,297","110,896","1,313","1,558","6,560","6,804","156,301","65,536","65,434","40,027","18,312","14,429","7,549","6,249",863,309,33104
33202,倉敷市　　　　,Kurashiki-shi,"477,118","461,359","3,715","481,537","64,463","270,529","122,037","288,666","3,846","4,807","12,388","12,317","471,594","189,847","189,550","109,657","58,541","43,133","23,382","18,207","2,261",846,33202
33203,津山市　　　　,Tsuyama-shi,"103,746","103,053",575,"99,821","13,991","59,399","29,663","27,192",736,"1,212","2,753","3,152","106,293","40,303","40,168","21,568","12,679","8,882","4,731","4,801",403,173,33203
33204,玉野市　　　　,Tamano-shi,"60,736","60,313",379,"57,921","6,363","32,729","21,440","17,808",260,819,"1,294","1,677","59,352","24,764","24,701","15,200","7,058","7,705","4,481","3,597",173,67,33204
33205,笠岡市　　　　,Kasaoka-shi,"50,568","50,201",248,"47,160","5,534","27,349","17,519","14,405",232,746,"1,112","1,367","49,425","19,189","19,127","11,642","5,004","5,652","3,104","2,886",150,43,33205
33207,井原市　　　　,Ibara-shi,"41,390","40,884",430,"39,284","4,658","22,465","14,247","6,182",191,598,726,898,"38,880","14,914","14,878","8,418","3,539","4,353","2,243","1,942",120,41,33207
33208,総社市　　　　,Soja-shi,"66,855","65,862",696,"69,602","9,488","38,696","18,175","22,245",526,710,"2,643","2,187","61,721","24,863","24,821","14,642","6,617","5,968","3,227","2,194",262,121,33208
33209,高梁市　　　　,Takahashi-shi,"32,075","31,500",533,"29,305","2,993","16,496","12,243","6,060",111,540,825,"1,178","34,265","13,481","13,431","6,154","5,184","3,459","2,031","2,075",71,32,33209
33210,新見市　　　　,Niimi-shi,"30,658","30,412",203,"28,396","3,269","15,420","11,851","5,318",118,544,515,726,"30,012","11,648","11,613","5,760","3,404","3,329","1,938","1,729",65,25,33210
33211,備前市　　　　,Bizen-shi,"35,179","34,799",338,"33,527","3,562","18,783","12,754",...,147,553,690,"1,006","36,640","13,878","13,838","8,236","3,721","4,365","2,488","2,094",100,45,33211
33212,瀬戸内市　　　,Setouchi-shi,"36,975","36,601",278,"37,049","4,350","20,291","12,151",...,181,555,"1,130","1,200","35,850","13,839","13,808","8,574","3,287","4,024","2,264","1,824",92,61,33212
33213,赤磐市　　　　,Akaiwa-shi,"43,214","42,998",195,"43,925","5,912","23,757","13,521","16,336",284,485,"1,129","1,167","37,734","15,730","15,696","10,551","3,038","4,879","2,822","1,796",121,72,33213
33214,真庭市　　　　,Maniwa-shi,"46,124","45,874",167,"44,245","5,519","23,649","16,900",...,242,776,808,"1,007","45,097","16,084","16,030","8,111","3,790","4,451","2,405","2,183",126,47,33214
33215,美作市　　　　,Mimasaka-shi,"27,977","27,799",169,"26,924","3,041","14,020","10,873",...,117,507,681,721,"27,293","10,881","10,851","5,761","3,105","3,195","1,859","1,889",83,33,33215
33216,浅口市　　　　,Asakuchi-shi,"34,235","34,104",103,"33,965","3,915","18,346","11,914",...,193,469,858,873,"30,539","12,463","12,438","7,855","2,562","4,180","2,239","1,505",99,40,33216
33346,和気町　　　　,Wake-cho,"14,412","14,311",101,"13,867","1,497","7,345","5,570",...,50,230,385,410,"13,855","5,236","5,189","3,114","1,188","1,760",971,749,35,30,33346
33423,早島町　　　　,Hayashima-cho,"12,154","12,121",18,"12,721","1,885","6,881","3,345",...,143,113,499,406,"11,885","4,349","4,343","2,874",903,"1,170",673,414,31,23,33423
33445,里庄町　　　　,Satosho-cho,"10,929","10,807",120,"11,149","1,515","6,154","3,256",...,69,107,333,330,"10,642","4,027","4,016","2,551",924,"1,136",627,455,27,24,33445
33461,矢掛町　　　　,Yakage-cho,"14,201","13,984",213,"13,936","1,532","7,417","5,248",...,74,217,306,373,"13,675","4,955","4,923","2,704","1,046","1,509",786,619,27,17,33461
33586,新庄村　　　　,Shinjo-son,866,861,5,912,97,407,362,...,7,14,25,25,761,330,330,156,86,95,59,62,4,0,33586
33606,鏡野町　　　　,Kagamino-cho,"12,847","12,784",61,"12,739","1,562","6,576","4,699",...,94,200,343,356,"12,182","4,669","4,647","2,528","1,140","1,325",732,719,39,19,33606
33622,勝央町　　　　,Shoo-cho,"11,125","11,097",26,"11,108","1,535","6,274","3,297",...,94,137,432,378,"12,096","4,054","4,044","2,363",985,998,549,448,50,17,33622
33623,奈義町　　　　,Nagi-cho,"5,906","5,895",10,"5,828",737,"3,203","1,957",...,50,88,306,295,"5,719","1,978","1,971","1,132",419,555,322,280,31,10,33623
33643,西粟倉村　　　,Nishiawakura-son,"1,472","1,458",14,"1,419",191,776,505,...,5,24,49,60,"1,275",561,560,279,163,155,83,85,4,0,33643
33663,久米南町　　　,Kumenan-cho,"4,907","4,882",25,"4,689",483,"2,344","2,076",...,21,79,93,145,"4,751","1,893","1,887","1,118",504,660,401,375,10,9,33663
33666,美咲町　　　　,Misaki-cho,"14,432","14,344",87,"13,764","1,615","7,217","5,592",...,64,265,310,409,"13,031","5,258","5,243","2,832","1,307","1,588",867,870,34,18,33666
33681,吉備中央町　　,Kibichuo-cho,"11,950","11,775",175,"10,926","1,140","6,142","4,668",...,39,207,320,434,"12,056","4,374","4,332","2,301","1,269","1,330",772,734,21,19,33681
34,広島県　　　,Hiroshima-ken,"2,843,990","2,795,626","34,854","2,812,477","375,890","1,662,522","774,440","1,833,539","19,606","30,244","105,589","110,859","2,850,087","1,211,425","1,209,288","695,485","417,099","275,705","156,638","144,014","11,765","4,233",34
34100,広島市　　　　,Hiroshima-shi,"1,194,034","1,172,808","14,302","1,194,817","166,427","730,388","279,311","1,027,439","9,179","10,296","58,966","59,393","1,211,020","531,605","530,948","300,982","201,431","104,631","59,196","57,117","5,581","1,894",34100
34101,　中区　　　　　,  Naka-ku,"136,640","130,802","3,369","136,012","14,379","85,510","31,181","136,640","1,034","1,231","10,538","9,370","235,161","76,889","76,813","29,739","44,325","10,377","5,573","10,607",836,254,34101
34102,　東区　　　　　,  Higashi-ku,"120,155","118,360","1,539","120,083","16,589","73,077","29,817","105,484",870,"1,112","5,737","6,054","106,191","51,790","51,721","31,337","17,643","11,019","6,288","6,260",486,172,34102
34103,　南区　　　　　,  Minami-ku,"142,728","139,923","1,523","142,546","18,298","86,528","32,804","140,988","1,112","1,288","7,376","7,591","160,272","68,785","68,709","34,068","31,384","11,786","6,342","7,945",693,209,34103
34104,　西区　　　　　,  Nishi-ku,"190,929","186,447","3,212","189,120","26,246","121,365","40,431","179,574","1,486","1,551","10,712","10,880","189,774","90,461","90,361","47,729","38,646","15,084","8,433","9,487","1,067",289,34104
34105,　安佐南区　　　,  Asaminami-ku,"242,512","239,870","1,585","244,923","41,677","150,564","47,952","202,928","2,294","1,699","11,097","11,484","212,801","99,411","99,307","62,428","31,285","18,636","10,689","7,729","1,152",384,34105
34106,　安佐北区　　　,  Asakita-ku,"145,018","143,570","1,319","142,518","18,013","82,701","43,997","89,734",717,"1,601","4,114","4,705","126,468","57,151","57,070","38,505","13,779","16,986","9,942","6,606",462,238,34106
34107,　安芸区　　　　,  Aki-ku,"79,353","78,275","1,036","78,967","11,651","48,039","19,470","61,766",569,649,"3,384","3,858","65,699","31,302","31,229","20,837","8,381","7,615","4,282","3,017",336,116,34107
34108,　佐伯区　　　　,  Saeki-ku,"136,699","135,561",719,"140,648","19,574","82,604","33,659","110,325","1,097","1,165","6,008","5,451","114,654","55,816","55,738","36,339","15,988","13,128","7,647","5,466",549,232,34108
34202,呉市　　　　　,Kure-shi,"228,552","225,484","2,370","217,690","25,905","124,928","76,204","156,083","1,198","3,154","5,638","7,457","225,845","97,412","97,184","58,027","32,286","27,522","16,034","16,670",816,289,34202
34203,竹原市　　　　,Takehara-shi,"26,426","26,291",105,"24,543","2,676","13,591","10,065","6,555",101,408,650,932,"25,739","11,204","11,180","6,677","3,501","3,517","2,087","1,985",72,44,34203
34204,三原市　　　　,Mihara-shi,"96,194","94,401","1,415","92,009","11,706","52,624","31,313","46,736",453,"1,293","2,471","2,634","96,229","39,888","39,810","23,191","12,535","10,649","6,265","5,801",260,151,34204
34205,尾道市　　　　,Onomichi-shi,"138,626","136,795","1,563","134,320","15,945","74,805","47,146","58,931",704,"1,923","3,227","3,886","139,167","57,759","57,643","33,435","17,870","16,266","9,301","8,812",408,166,34205
34207,福山市　　　　,Fukuyama-shi,"464,811","456,972","5,537","466,863","64,496","271,739","123,441","265,448","3,553","4,956","10,602","12,064","464,897","185,555","185,180","107,805","56,044","42,341","22,673","18,686","2,074",739,34207
34208,府中市　　　　,Fuchu-shi,"40,069","39,706",325,"38,204","4,551","21,334","14,107","19,569",163,555,757,"1,370","41,411","15,039","14,989","8,448","3,823","4,317","2,375","1,918",94,49,34208
34209,三次市　　　　,Miyoshi-shi,"53,615","53,028",396,"51,234","6,677","27,983","18,655","11,465",319,871,"1,385","1,461","54,436","21,376","21,307","11,497","6,645","5,377","3,069","3,259",164,86,34209
34210,庄原市　　　　,Shobara-shi,"37,000","36,658",274,"34,208","3,963","17,878","15,007",...,178,630,691,876,"37,427","14,455","14,399","6,961","4,541","4,063","2,418","2,422",90,42,34210
34211,大竹市　　　　,Otake-shi,"27,865","27,530",261,"26,616","3,130","15,347","9,261","23,905",167,343,"1,008",997,"28,867","11,749","11,730","7,127","3,701","3,357","1,901","1,680",110,31,34211
34212,東広島市　　　,Higashihiroshima-shi,"192,907","186,574","4,508","189,369","27,521","119,964","42,209","51,311","1,424","1,587","7,639","6,964","191,425","84,847","84,675","44,359","34,290","15,108","8,804","6,518",823,259,34212
34213,廿日市市　　　,Hatsukaichi-shi,"114,906","113,750",803,"117,045","15,070","67,429","31,871","81,161",751,"1,212","3,853","3,547","103,762","46,039","45,973","30,398","11,997","12,276","6,994","5,138",413,156,34213
34214,安芸高田市　　,Akitakata-shi,"29,488","29,030",457,"28,044","3,226","14,850","11,400",...,112,473,730,773,"29,855","11,657","11,623","6,419","3,520","3,416","2,042","1,908",86,43,34214
34215,江田島市　　　,Etajima-shi,"24,339","23,930",404,"22,356","2,060","12,294","9,970",...,75,452,"1,161","1,388","23,083","10,741","10,675","6,108","3,725","3,521","2,195","2,301",79,36,34215
34302,府中町　　　　,Fuchu-cho,"51,053","50,347",571,"52,101","7,503","31,548","11,735","50,776",499,417,"2,071","2,292","53,021","21,109","21,095","13,951","6,037","4,699","2,591","2,203",254,68,34302
34304,海田町　　　　,Kaita-cho,"28,667","27,872",679,"30,343","4,159","17,779","6,522","26,912",300,222,"1,712","1,586","28,980","12,246","12,236","7,744","3,872","2,677","1,489","1,261",171,59,34304
34307,熊野町　　　　,Kumano-cho,"23,755","23,605",138,"23,711","3,150","12,713","7,874",...,126,263,641,709,"18,918","9,430","9,424","6,693","2,075","3,221","1,969","1,237",52,48,34307
34309,坂町　　　　　,Saka-cho,"12,747","12,674",73,"12,978","1,881","7,149","3,715","7,248",97,161,746,648,"15,232","5,132","5,128","3,320","1,415","1,393",768,717,57,14,34309
34368,安芸太田町　　,Akiota-cho,"6,472","6,442",23,"6,034",529,"2,745","3,179",...,16,135,191,186,"6,630","2,781","2,770","1,489",896,"1,005",615,649,10,3,34368
34369,北広島町　　　,Kitahiroshima-cho,"18,918","18,549",337,"18,244","2,132","9,653","7,054",...,74,300,558,607,"21,018","7,728","7,695","3,972","2,595","2,089","1,254","1,241",68,20,34369
34431,大崎上島町　　,Osakikamijima-cho,"7,992","7,888",104,"7,332",566,"3,838","3,587",...,25,146,355,343,"8,632","3,898","3,885","1,810","1,765","1,195",762,883,17,8,34431
34462,世羅町　　　　,Sera-cho,"16,337","16,126",158,"15,725","1,766","7,876","6,515",...,59,271,369,513,"15,598","6,242","6,224","3,369","1,530","1,935","1,135",914,50,20,34462
34545,神石高原町　　,Jinsekikogen-cho,"9,217","9,166",51,"8,691",851,"4,067","4,299",...,33,176,168,233,"8,895","3,533","3,515","1,703","1,005","1,130",701,694,16,8,34545
35,山口県　　　,Yamaguchi-ken,"1,404,729","1,390,689","11,512","1,356,144","170,022","778,430","447,862","691,421","8,203","18,477","40,522","43,941","1,399,109","598,834","597,426","345,715","199,089","154,487","89,954","86,916","4,810","1,988",35
35201,下関市　　　　,Shimonoseki-shi,"268,517","264,735","3,370","257,553","31,116","147,954","88,073","176,520","1,427","3,639","5,947","7,032","264,983","116,298","115,993","66,529","39,513","30,604","17,372","17,786",888,404,35201
35202,宇部市　　　　,Ube-shi,"169,429","167,501","1,605","163,112","20,513","96,548","51,303","89,846","1,081","2,089","4,391","4,565","169,768","73,225","73,077","41,636","25,513","17,937","10,267","9,781",634,258,35202
35203,山口市　　　　,Yamaguchi-shi,"197,422","196,048","1,010","190,663","26,118","116,106","53,325","99,468","1,314","2,213","7,098","7,028","200,470","84,994","84,767","46,531","31,325","18,063","10,676","9,429",714,226,35203
35204,萩市　　　　　,Hagi-shi,"49,560","49,188",357,"45,508","4,835","25,031","19,591","18,764",189,824,"1,075","1,344","48,806","21,620","21,564","11,584","7,416","6,281","3,680","4,196",87,50,35204
35206,防府市　　　　,Hofu-shi,"115,942","115,090",775,"115,405","15,331","66,700","33,582","71,556",848,"1,401","5,126","4,990","114,164","47,573","47,461","28,438","14,640","11,689","6,611","6,182",437,193,35206
35207,下松市　　　　,Kudamatsu-shi,"55,812","55,224",340,"57,358","7,855","31,598","15,875","26,359",495,632,"2,406","2,224","56,355","23,757","23,726","14,650","7,357","5,974","3,611","2,924",293,89,35207
35208,岩国市　　　　,Iwakuni-shi,"136,757","134,858","1,299","132,187","16,187","73,838","45,401","66,466",777,"1,906","3,603","3,961","135,718","59,080","58,927","34,658","19,574","15,901","9,537","9,317",528,199,35208
35210,光市　　　　　,Hikari-shi,"51,369","51,053",270,"50,431","6,370","27,617","17,289","25,836",316,688,"1,389","1,499","48,930","20,953","20,917","13,570","5,587","6,323","3,834","2,958",178,65,35210
35211,長門市　　　　,Nagato-shi,"35,439","35,089",350,"33,094","3,560","17,793","14,070",...,141,584,782,815,"34,753","14,666","14,628","7,991","4,528","4,339","2,543","2,658",77,45,35211
35212,柳井市　　　　,Yanai-shi,"32,945","32,808",115,"31,087","3,690","17,149","12,008","9,993",149,521,893,"1,073","34,013","14,170","14,147","8,141","4,701","4,067","2,364","2,631",87,57,35212
35213,美祢市　　　　,Mine-shi,"26,159","25,990",164,"23,375","2,502","13,749","9,887",...,82,420,538,735,"26,572","10,095","10,053","5,517","2,915","2,984","1,711","1,677",50,24,35213
35215,周南市　　　　,Shunan-shi,"144,842","143,402","1,074","140,998","17,992","81,321","44,114","88,865",824,"1,705","4,044","4,571","149,470","61,999","61,890","36,447","20,470","15,619","9,054","8,510",534,214,35215
35216,山陽小野田市　,Sanyoonoda-shi,"62,671","62,145",504,"61,565","8,080","34,933","19,537","17,748",350,821,"1,670","2,020","60,679","25,740","25,689","15,557","7,594","6,805","3,870","3,733",181,96,35216
35305,周防大島町　　,Suooshima-cho,"17,199","17,127",72,"15,242","1,162","7,106","8,914",...,40,424,341,488,"17,434","8,038","7,993","4,335","3,102","2,897","1,851","2,277",29,11,35305
35321,和木町　　　　,Waki-cho,"6,285","6,205",80,"6,187","1,044","3,666","1,570",...,57,64,263,591,"5,678","2,593","2,592","1,650",788,584,346,349,20,14,35321
35341,上関町　　　　,Kaminoseki-cho,"2,803","2,800",3,"2,593",173,"1,126","1,504",...,11,81,64,71,"2,731","1,459","1,458",740,612,519,314,454,0,6,35341
35343,田布施町　　　,Tabuse-cho,"15,317","15,260",45,"15,002","1,875","8,250","5,153",...,51,221,474,460,"13,583","6,131","6,116","3,889","1,608","1,866","1,134",931,30,12,35343
35344,平生町　　　　,Hirao-cho,"12,798","12,732",50,"11,600","1,314","6,395","5,058",...,48,179,328,387,"11,648","4,951","4,940","3,075","1,362","1,544",909,790,37,22,35344
35502,阿武町　　　　,Abu-cho,"3,463","3,434",29,"3,184",305,"1,550","1,608",...,3,65,90,87,"3,354","1,492","1,488",777,484,491,270,333,6,3,35502
36,徳島県　　　,Tokushima-ken,"755,733","747,141","3,871","735,070","87,030","428,059","230,914","247,151","4,521","9,886","20,037","22,429","752,919","305,754","304,911","167,478","98,053","72,779","39,270","39,325","2,609","1,081",36
36201,徳島市　　　　,Tokushima-shi,"258,554","253,499","1,213","252,093","29,732","151,895","69,378","186,426","1,903","2,788","7,618","7,697","280,361","115,015","114,765","58,085","46,270","22,448","12,032","13,835","1,041",390,36201
36202,鳴門市　　　　,Naruto-shi,"59,101","58,662",270,"56,237","6,600","33,763","18,448","20,219",271,755,"1,335","1,715","57,187","23,234","23,153","13,378","6,826","5,958","3,135","3,031",178,73,36202
36203,小松島市　　　,Komatsushima-shi,"38,755","38,586",161,"36,897","4,456","22,238","11,934","16,266",196,500,"1,028","1,345","36,005","15,233","15,200","8,872","4,299","3,989","2,158","1,946",135,61,36203
36204,阿南市　　　　,Anan-shi,"73,019","72,668",211,"71,790","9,365","41,090","22,250","5,020",408,941,"1,535","1,877","73,827","27,193","27,129","15,761","7,025","6,947","3,766","3,233",236,103,36204
36205,吉野川市　　　,Yoshinogawa-shi,"41,466","41,160",258,"40,184","4,434","22,486","14,336","6,125",221,609,793,993,"38,074","15,714","15,670","8,942","4,133","4,373","2,324","2,217",127,43,36205
36206,阿波市　　　　,Awa-shi,"37,202","36,902",293,"36,581","4,134","20,593","12,427",...,165,617,746,"1,060","33,539","13,108","13,059","7,312","2,811","3,675","1,844","1,533",85,55,36206
36207,美馬市　　　　,Mima-shi,"30,501","30,186",270,"28,367","3,084","16,526","10,796",...,125,466,573,753,"29,761","11,440","11,377","6,200","3,041","3,082","1,619","1,754",79,40,36207
36208,三好市　　　　,Miyoshi-shi,"26,836","26,672",163,"24,770","2,326","13,500","10,992",...,83,580,472,762,"27,676","11,311","11,248","5,913","3,768","3,259","1,825","2,247",60,37,36208
36301,勝浦町　　　　,Katsuura-cho,"5,301","5,280",20,"5,053",504,"2,696","2,101",...,19,85,106,128,"5,037","1,860","1,853",962,436,562,324,309,16,3,36301
36302,上勝町　　　　,Kamikatsu-cho,"1,545","1,534",11,"1,511",111,593,841,...,7,25,59,39,"1,664",732,730,337,311,233,163,205,3,1,36302
36321,佐那河内村　　,Sanagouchi-son,"2,289","2,280",9,"2,251",194,"1,107",988,...,8,33,43,62,"1,907",793,791,395,158,257,138,116,11,3,36321
36341,石井町　　　　,Ishii-cho,"25,590","25,386",150,"25,580","3,232","14,463","7,670",...,152,337,676,724,"22,321","9,327","9,308","5,607","2,114","2,462","1,262",952,71,39,36341
36342,神山町　　　　,Kamiyama-cho,"5,300","5,262",38,"5,113",300,"2,378","2,622",...,24,135,121,106,"4,919","2,156","2,149","1,095",636,776,489,454,13,7,36342
36368,那賀町　　　　,Naka-cho,"8,402","8,385",13,"7,916",698,"3,731","3,914",...,27,179,149,254,"8,519","3,481","3,472","1,886","1,014","1,211",730,690,16,6,36368
36383,牟岐町　　　　,Mugi-cho,"4,259","4,232",27,"3,948",336,"1,880","2,043",...,7,85,105,104,"4,200","1,871","1,866","1,052",622,667,422,407,10,3,36383
36387,美波町　　　　,Minami-cho,"7,092","7,057",35,"6,434",579,"3,305","3,208",...,25,117,112,207,"6,906","2,901","2,886","1,635",879,"1,026",650,554,9,5,36387
36388,海陽町　　　　,Kaiyo-cho,"9,283","9,111",172,"8,975",818,"4,451","3,987",...,30,192,191,270,"9,217","4,198","4,186","2,263","1,454","1,322",786,845,20,17,36388
36401,松茂町　　　　,Matsushige-cho,"15,204","15,090",61,"14,950","2,100","9,388","3,568",...,107,171,775,812,"16,529","5,881","5,858","3,458","1,832","1,130",601,470,72,23,36401
36402,北島町　　　　,Kitajima-cho,"22,446","22,153",96,"23,281","3,392","13,480","5,385","13,095",201,194,"1,035",987,"19,887","8,824","8,813","5,488","2,452","1,869",992,818,105,34,36402
36403,藍住町　　　　,Aizumi-cho,"34,626","34,349",131,"35,484","5,361","21,445","7,591",...,301,295,"1,460","1,263","29,533","13,133","13,104","8,488","3,238","2,588","1,355","1,082",172,64,36403
36404,板野町　　　　,Itano-cho,"13,358","13,244",111,"13,353","1,451","7,851","4,019",...,82,171,389,385,"13,528","4,930","4,912","2,805","1,251","1,278",625,566,50,28,36404
36405,上板町　　　　,Kamiita-cho,"12,039","11,974",63,"11,778","1,344","6,777","3,778",...,61,177,237,294,"10,368","4,256","4,244","2,517",868,"1,159",591,454,35,19,36405
36468,つるぎ町　　　,Tsurugi-cho,"8,927","8,905",22,"8,458",749,"4,308","3,869",...,19,201,150,207,"9,375","3,838","3,828","2,050","1,257","1,204",720,877,28,7,36468
36489,東みよし町　　,Higashimiyoshi-cho,"14,638","14,564",73,"14,066","1,730","8,115","4,769",...,79,233,329,385,"12,579","5,325","5,310","2,977","1,358","1,304",719,730,37,20,36489
37,香川県　　　,Kagawa-ken,"976,263","961,844","6,928","973,922","122,324","547,844","286,296","317,869","6,179","12,183","27,895","29,440","978,511","398,551","397,602","227,451","125,456","95,762","53,781","48,194","3,786","1,498",37
37201,高松市　　　　,Takamatsu-shi,"420,748","411,933","2,447","426,260","55,082","240,958","109,369","212,897","3,085","4,566","12,724","12,479","435,901","182,047","181,690","101,559","65,082","38,326","21,624","20,829","1,876",720,37201
37202,丸亀市　　　　,Marugame-shi,"110,010","108,333","1,238","112,622","15,054","63,441","29,572","37,621",814,"1,187","3,777","3,581","104,968","43,853","43,731","26,423","12,838","10,136","5,709","4,948",477,184,37202
37203,坂出市　　　　,Sakaide-shi,"53,164","52,687",362,"52,142","6,264","28,511","18,133","23,157",270,774,"1,475","1,630","60,114","21,361","21,294","12,587","6,336","5,956","3,379","3,058",164,74,37203
37204,善通寺市　　　,Zentsuji-shi,"32,927","32,716",185,"31,495","4,215","19,074","9,497","9,250",228,420,"1,471","1,797","33,130","12,977","12,914","7,134","4,218","3,131","1,751","1,599",162,64,37204
37205,観音寺市　　　,Kanonji-shi,"59,409","58,926",278,"59,248","7,162","32,838","18,983","9,330",332,872,"1,363","1,505","59,626","21,984","21,896","12,480","5,466","5,800","3,092","2,634",222,78,37205
37206,さぬき市　　　,Sanuki-shi,"50,272","49,963",279,"47,310","5,405","27,539","17,044","6,044",187,668,881,"1,214","47,688","19,752","19,705","11,340","5,578","5,544","3,105","2,448",124,62,37206
37207,東かがわ市　　,Higashikagawa-shi,"31,031","30,837",182,"29,628","2,983","15,752","12,244",...,116,486,444,663,"30,115","12,441","12,413","7,573","3,185","4,167","2,468","1,973",73,32,37207
37208,三豊市　　　　,Mitoyo-shi,"65,524","65,011",442,"64,293","7,754","35,192","22,441",...,311,"1,042","1,207","1,502","61,184","22,761","22,711","12,848","4,848","6,461","3,466","2,713",195,76,37208
37322,土庄町　　　　,Tonosho-cho,"14,002","13,940",62,"13,514","1,372","7,292","5,337",...,61,221,357,425,"13,872","6,061","6,050","3,529","1,858","1,860","1,085","1,079",31,9,37322
37324,小豆島町　　　,Shodoshima-cho,"14,862","14,739",123,"14,219","1,351","7,375","6,136",...,62,274,347,386,"14,838","6,411","6,386","3,702","2,014","2,057","1,264","1,176",34,13,37324
37341,三木町　　　　,Miki-cho,"27,684","27,454",154,"27,715","3,452","15,697","7,817",...,169,367,682,829,"24,845","10,667","10,647","6,450","2,722","2,770","1,515","1,057",85,38,37341
37364,直島町　　　　,Naoshima-cho,"3,139","3,123",16,"3,041",313,"1,750","1,073",...,25,54,167,183,"3,608","1,519","1,513",779,646,393,257,217,15,1,37364
37386,宇多津町　　　,Utazu-cho,"18,952","18,516",362,"18,510","3,069","11,986","3,627","12,181",170,157,"1,066","1,106","18,686","8,465","8,451","4,573","3,397","1,204",683,758,109,37,37386
37387,綾川町　　　　,Ayagawa-cho,"23,610","23,462",146,"23,812","2,777","13,014","7,808",...,114,326,558,617,"22,180","8,548","8,531","5,345","1,737","2,539","1,415","1,007",75,27,37387
37403,琴平町　　　　,Kotohira-cho,"9,186","9,146",33,"8,814",926,"4,675","3,564",...,35,193,263,278,"9,227","3,708","3,699","2,037","1,143","1,082",592,698,22,10,37403
37404,多度津町　　　,Tadotsu-cho,"23,366","22,806",506,"23,056","2,908","13,138","7,132","7,389",109,283,696,826,"22,531","9,551","9,536","5,466","3,018","2,465","1,384","1,123",66,49,37404
