,,,,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上
全国・都道府県コード,全国・都道府県,国籍コード,国籍,移動前・移動後の住所地コード,移動前・移動後の住所地,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
1000,北海道,60000,移動者,38000,愛媛県,79,-6,-9,-1,43,24,11,8,8,-1,5,1,0,-3,-1,-2,0,0,0,2,71,-1,-10,1,39,14,9,9,4,3,3,3,-1,-2,-1,-1,1,0,0,1,8,-5,1,-2,4,10,2,-1,4,-4,2,-2,1,-1,0,-1,-1,0,0,1
1000,北海道,60000,移動者,39000,高知県,13,3,-2,-4,4,9,3,2,-8,-1,4,-3,1,1,3,1,-2,-1,2,1,2,2,-1,-3,-1,4,6,2,-5,-1,3,-4,-1,-1,1,1,-1,0,0,1,11,1,-1,-1,5,5,-3,0,-3,0,1,1,2,2,2,0,-1,-1,2,0
1000,北海道,60000,移動者,40000,福岡県,103,14,9,-14,25,93,20,12,-13,-17,12,-24,-7,9,-10,-1,-2,-4,1,0,115,5,8,-3,27,87,30,1,-10,-11,-1,-20,-4,8,-6,2,-1,1,0,2,-12,9,1,-11,-2,6,-10,11,-3,-6,13,-4,-3,1,-4,-3,-1,-5,1,-2
1000,北海道,60000,移動者,41000,佐賀県,-3,-5,-3,-1,1,10,-13,7,4,-5,2,6,-1,-4,2,-3,0,0,0,0,2,-6,-4,-2,1,12,-1,4,0,-4,-1,5,-1,-3,2,0,0,0,0,0,-5,1,1,1,0,-2,-12,3,4,-1,3,1,0,-1,0,-3,0,0,0,0
1000,北海道,60000,移動者,42000,長崎県,-10,-1,0,-1,-3,7,-6,18,0,-9,-1,-3,-1,-7,3,-5,-1,0,-1,1,-8,3,-3,2,-8,7,-7,11,3,-9,2,0,-2,-5,1,-3,0,0,0,0,-2,-4,3,-3,5,0,1,7,-3,0,-3,-3,1,-2,2,-2,-1,0,-1,1
1000,北海道,60000,移動者,43000,熊本県,-11,-6,-8,5,20,-14,-5,0,-12,2,1,1,4,5,3,-4,0,0,-2,-1,-7,-2,1,3,11,-10,1,-3,-10,-2,0,-1,4,3,0,-1,-1,0,0,0,-4,-4,-9,2,9,-4,-6,3,-2,4,1,2,0,2,3,-3,1,0,-2,-1
1000,北海道,60000,移動者,44000,大分県,-49,-6,-9,2,3,6,-4,-3,-9,-7,-5,-10,-6,-1,2,1,-2,0,0,-1,-24,-5,-2,0,7,7,-4,0,-7,-2,-5,-7,-4,-1,1,0,-1,-1,0,0,-25,-1,-7,2,-4,-1,0,-3,-2,-5,0,-3,-2,0,1,1,-1,1,0,-1
1000,北海道,60000,移動者,45000,宮崎県,-39,4,-14,1,-2,-18,-23,13,-5,-2,1,14,-3,-1,-4,2,-3,1,0,0,-47,0,-5,-3,-1,-17,-21,6,-1,-5,2,10,-4,-3,-4,2,-2,-1,0,0,8,4,-9,4,-1,-1,-2,7,-4,3,-1,4,1,2,0,0,-1,2,0,0
1000,北海道,60000,移動者,46000,鹿児島県,26,0,3,8,9,20,-2,-13,-4,3,5,-2,8,-4,-2,-2,-2,0,1,0,10,-2,2,3,17,6,-4,-11,2,-2,2,-2,4,-3,1,0,-3,0,0,0,16,2,1,5,-8,14,2,-2,-6,5,3,0,4,-1,-3,-2,1,0,1,0
1000,北海道,60000,移動者,47000,沖縄県,8,17,16,3,5,-13,-17,-23,25,-16,5,-10,13,2,1,4,-1,0,-1,-2,0,11,6,2,6,-3,-16,-19,9,-5,3,-4,10,-1,0,1,1,0,-1,0,8,6,10,1,-1,-10,-1,-4,16,-11,2,-6,3,3,1,3,-2,0,0,-2
