Country,categories,2016,2017,2018,2019,2020
MK,Customs & other import duties,0.7661,0.7996,0.8113,0.8555,1.0043
MK,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
MK,Taxes on property,0.2149,0.2101,0.2285,0.2356,0.2223
MK,Taxes on goods & services,12.6934,12.7047,12.466,12.5476,11.4454
MK,Taxes on int trade & transactions,0.7661,0.7996,0.8113,0.8555,1.0043
MK,Social contributions,7.4199,7.5783,7.5232,8.8595,9.9605
MK,Grants revenue,0.5583,1.1831,0.4486,0.5335,0.3834
MK,Grants revenue from foreign govts,0.5583,1.1831,0.4486,0.5335,0.3834
MK,Grants revenue from int orgs,0.0,0.0,0.0,0.0,0.0
MK,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
MK,Other revenue,2.6455,2.2263,2.2964,2.9598,2.0562
NO,Revenue,54.7552,54.6362,55.8621,57.1777,54.4269
NO,Tax revenue,28.3728,28.636,29.4721,29.6291,27.5998
NO,"Taxes on income, profits, & capital gains",14.8822,15.2802,16.5697,16.5159,13.8596
NO,Customs & other import duties,0.1017,0.0953,0.0879,0.0889,0.0969
NO,Taxes on payroll & workforce,0.0145,0.0714,0.0692,0.0703,0.0757
NO,Taxes on property,0.8668,0.8936,0.8519,0.891,0.9224
NO,Taxes on goods & services,12.497,12.2847,11.8825,12.0507,12.6329
NO,Taxes on int trade & transactions,0.1084,0.1023,0.0952,0.0979,0.1061
NO,Social contributions,10.8058,10.4588,10.2046,10.7289,11.3601
NO,Grants revenue,,,,,
NO,Grants revenue from foreign govts,0.0127,0.0112,0.0222,0.0442,0.0485
NO,Grants revenue from int orgs,,,,,
NO,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
NO,Other revenue,,,,,
PW,Revenue,60.9269,59.0171,64.9751,65.7427,
PW,Tax revenue,19.7749,19.9094,21.1854,18.8971,
PW,"Taxes on income, profits, & capital gains",3.342,3.811,3.8313,3.9629,
PW,Customs & other import duties,5.1397,4.9046,5.2096,4.6862,
PW,Taxes on payroll & workforce,0.5676,0.5179,0.484,0.5245,
PW,Taxes on property,0.0449,0.0441,0.0428,0.0426,
PW,Taxes on goods & services,10.2701,10.0642,10.9643,9.2025,
PW,Taxes on int trade & transactions,5.2892,5.1901,5.4769,4.8988,
PW,Social contributions,10.1241,10.5093,12.0439,12.6222,
PW,Grants revenue,18.3904,15.1975,19.4217,20.3532,
PW,Grants revenue from foreign govts,18.3904,15.1975,19.4217,20.3532,
PW,Grants revenue from int orgs,0.0,0.0,0.0,0.0,
PW,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,
PW,Other revenue,12.6375,13.4009,12.3242,13.8702,
PY,Revenue,18.9794,18.438,18.2794,18.2401,17.8339
PY,Tax revenue,10.1324,10.4862,10.6037,10.3934,9.8704
PY,"Taxes on income, profits, & capital gains",2.1559,2.3033,2.2814,2.5417,2.4885
PY,Customs & other import duties,0.8038,1.0076,1.0933,1.0234,0.8335
PY,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
PY,Taxes on property,0.2781,0.2575,0.257,0.1869,0.1587
PY,Taxes on goods & services,6.6803,6.7095,6.7787,6.4328,6.2367
PY,Taxes on int trade & transactions,0.8038,1.0076,1.0933,1.0234,0.8335
PY,Social contributions,3.468,3.7008,3.5847,3.7127,3.7591
PY,Grants revenue,1.2066,0.1514,0.1201,0.1091,0.5859
PY,Grants revenue from foreign govts,0.0442,0.0738,0.0674,0.0701,0.1163
PY,Grants revenue from int orgs,1.1624,0.0776,0.0527,0.039,0.0452
PY,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.4243
PY,Other revenue,4.1722,4.0996,3.9709,4.0249,3.6185
PT,Revenue,42.198,41.7481,42.224,41.9617,42.8834
PT,Tax revenue,24.8109,24.7864,25.1584,24.7232,24.6366
PT,"Taxes on income, profits, & capital gains",9.806,9.6323,9.8028,9.4515,9.7701
PT,Customs & other import duties,0.0,0.0,0.0,0.0,0.0
PT,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
PT,Taxes on property,0.8247,0.8055,0.8123,0.8031,0.8259
PT,Taxes on goods & services,13.3133,13.4734,13.6553,13.5531,13.1093
PT,Taxes on int trade & transactions,0.0,0.0,0.0,0.0,0.0
PT,Social contributions,11.5879,11.5814,11.6284,11.8296,12.7972
PT,Grants revenue,1.0417,0.6585,0.685,0.6889,0.8645
PT,Grants revenue from foreign govts,0.0099,0.0131,0.0131,0.0155,0.0303
PT,Grants revenue from int orgs,1.0319,0.6454,0.672,0.6733,0.8342
PT,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
PT,Other revenue,4.7575,4.7217,4.7523,4.72,4.5851
RO,Revenue,31.8433,30.7847,31.8949,31.7739,32.6988
RO,Tax revenue,17.7897,16.376,15.3323,15.4275,15.1267
RO,"Taxes on income, profits, & capital gains",6.0319,5.7188,4.5832,4.5332,4.4402
RO,Customs & other import duties,0.0006,0.0055,0.006,0.0065,0.0049
RO,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
RO,Taxes on property,0.7291,0.599,0.5336,0.5117,0.5111
RO,Taxes on goods & services,10.9711,10.007,10.1661,10.3348,10.1357
RO,Taxes on int trade & transactions,0.0006,0.0055,0.006,0.0065,0.0049
RO,Social contributions,8.7748,9.3515,11.4108,11.3011,11.9732
RO,Grants revenue,,,,,
RO,Grants revenue from foreign govts,,,,,
RO,Grants revenue from int orgs,0.7166,0.8362,0.8886,0.9562,1.6619
RO,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
RO,Other revenue,,,,,4.0452
RU,Revenue,36.4132,35.8122,38.4955,40.9043,38.9484
RU,Tax revenue,18.0419,19.1985,20.5111,20.0901,19.5762
RU,"Taxes on income, profits, & capital gains",6.3216,7.4993,7.7696,8.023,7.9888
RU,Customs & other import duties,0.6679,0.6397,0.6554,0.6774,0.6792
RU,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
RU,Taxes on property,1.1654,1.2029,1.2231,1.0863,0.4907
RU,Taxes on goods & services,7.4774,7.6818,7.9553,8.2065,9.3405
RU,Taxes on int trade & transactions,3.0773,2.8143,3.5629,2.7736,1.7558
RU,Social contributions,8.0441,7.0385,7.2285,7.4149,7.7887
RU,Grants revenue,0.0,0.0,0.0,0.0003,0.0008
RU,Grants revenue from foreign govts,0.0,0.0,0.0,0.0,0.0
RU,Grants revenue from int orgs,0.0,0.0,0.0,0.0003,0.0008
RU,Grants revenue from other gen govt,-0.0,-0.0,0.0,-0.0,0.0
RU,Other revenue,10.3272,9.5752,10.7559,13.399,11.5827
RW,Revenue,26.7729,25.5464,26.3016,26.2215,27.1871
RW,Tax revenue,14.939,14.0626,14.8982,14.8019,15.1245
RW,"Taxes on income, profits, & capital gains",6.2543,5.8574,6.3483,6.3208,6.5931
RW,Customs & other import duties,1.0954,1.0483,1.1448,1.2016,1.2023
RW,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0007
RW,Taxes on property,0.0238,0.0079,0.0,0.0043,0.1069
RW,Taxes on goods & services,7.5529,6.8888,7.4051,7.2751,7.2205
RW,Taxes on int trade & transactions,1.108,1.0483,1.1448,1.2016,1.2034
RW,Social contributions,2.1024,2.0362,1.9481,1.9424,2.1851
RW,Grants revenue,6.1332,4.847,4.9753,4.7963,5.254
RW,Grants revenue from foreign govts,1.0492,0.933,0.7789,0.2027,0.2482
RW,Grants revenue from int orgs,5.084,3.914,4.0954,4.5601,5.0059
RW,Grants revenue from other gen govt,0.0,0.0,0.1011,0.0335,0.0
RW,Other revenue,3.5983,4.6007,4.48,4.6809,4.6235
WS,Revenue,32.6008,34.0282,35.9774,37.6888,43.4717
WS,Tax revenue,24.2508,24.9693,25.429,26.167,26.4
WS,"Taxes on income, profits, & capital gains",5.4717,5.5467,5.4793,5.8981,5.9748
WS,Customs & other import duties,2.6043,2.6022,2.7877,2.8434,2.5541
WS,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
WS,Taxes on property,0.1373,0.1586,0.1256,0.035,0.0
WS,Taxes on goods & services,16.0375,16.6617,17.0365,17.3905,17.871
WS,Taxes on int trade & transactions,2.6043,2.6022,2.7877,2.8434,2.5541
WS,Social contributions,0.5492,0.5474,0.5499,0.5575,0.6108
WS,Grants revenue,2.1956,1.9755,2.9473,2.0577,8.2941
WS,Grants revenue from foreign govts,2.1748,1.9433,2.8993,2.0399,8.2751
WS,Grants revenue from int orgs,0.0208,0.0322,0.048,0.0178,0.019
WS,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
WS,Other revenue,5.6052,6.5361,7.0511,8.9067,8.1669
SM,Revenue,42.3912,40.8356,41.1493,41.6502,41.5827
SM,Tax revenue,16.6895,16.4688,17.9568,16.9127,16.0282
SM,"Taxes on income, profits, & capital gains",6.5329,6.7934,7.0688,7.5651,7.4535
SM,Customs & other import duties,0.2005,0.1877,0.1551,0.1645,0.1602
SM,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
SM,Taxes on property,0.6073,0.6081,1.8441,0.6743,0.7077
SM,Taxes on goods & services,8.9875,8.4685,8.432,8.0281,7.3085
SM,Taxes on int trade & transactions,0.2005,0.1877,0.1551,0.1645,0.1602
SM,Social contributions,13.2391,13.2639,13.2093,13.1996,13.083
SM,Grants revenue,-0.0,0.0,0.0,0.0,2.19
SM,Grants revenue from foreign govts,0.0,0.0,0.0,0.0,0.3414
SM,Grants revenue from int orgs,0.0,0.0,0.0,0.0,1.8486
SM,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,-0.0
SM,Other revenue,12.4625,11.1028,9.9832,11.5378,10.2814
SA,Revenue,,,35.283,36.5702,36.0296
SA,Tax revenue,,,8.9257,7.4002,8.6393
SA,"Taxes on income, profits, & capital gains",,,0.5674,0.5786,0.6898
SA,Customs & other import duties,,,0.5476,0.5843,0.6762
SA,Taxes on payroll & workforce,,,0.0,0.0,0.0
SA,Taxes on property,,,0.0,0.0439,0.0166
SA,Taxes on goods & services,,,7.1145,5.1592,6.2217
SA,Taxes on int trade & transactions,,,0.5476,0.5843,0.6772
SA,Social contributions,,,2.8455,2.8478,3.3977
SA,Grants revenue,,,0.0,0.0,0.0001
SA,Grants revenue from foreign govts,,,0.0,0.0,0.0
SA,Grants revenue from int orgs,,,0.0,0.0,0.0
SA,Grants revenue from other gen govt,,,0.0,0.0,0.0001
SA,Other revenue,,,23.5118,26.3222,23.9924
SN,Revenue,22.2513,24.5115,24.5569,24.3339,22.5762
SN,Tax revenue,16.7555,16.3676,16.3756,18.5568,17.3787
SN,"Taxes on income, profits, & capital gains",4.5175,4.4875,4.6844,5.2656,5.265
SN,Customs & other import duties,2.1442,2.2768,2.5418,2.6769,2.3821
SN,Taxes on payroll & workforce,0.1875,0.1645,0.0586,0.31,0.0564
SN,Taxes on property,0.2735,0.3324,0.3351,0.0288,0.0579
SN,Taxes on goods & services,9.3193,8.8302,8.4164,9.9995,9.3727
SN,Taxes on int trade & transactions,2.1442,2.2768,2.5418,2.6769,2.3821
SN,Social contributions,1.0509,1.0933,1.154,1.1947,1.0856
SN,Grants revenue,0.9949,2.6041,4.6716,2.7914,2.2921
SN,Grants revenue from foreign govts,0.8302,1.8481,0.0,1.5943,2.2317
SN,Grants revenue from int orgs,0.1646,0.7561,4.6716,1.1971,0.0604
SN,Grants revenue from other gen govt,0.0001,-0.0,0.0,0.0,0.0
SN,Other revenue,3.4501,4.4465,2.3558,1.791,1.8198
RS,Revenue,46.878,46.857,47.3033,48.3671,47.5807
RS,Tax revenue,24.6691,25.4133,24.9776,25.3901,24.9649
RS,"Taxes on income, profits, & capital gains",5.6843,6.3196,6.1823,6.3516,6.0059
